Date,Open,High,Low,Close,Vol.,Change %,sent_score,sent-1,sent-3,sent-7,Close+1,Close+3,Close+7
2022-10-22,19162.6,19249.9,19116.1,19204.8,118240000.0,0.22,-0.12222222222222223,-0.05714285714285715,-0.06131341425459072,-0.06913432039482459,19571.2,20082.7,20809.8
2022-10-23,19204.8,19680.9,19092.5,19571.2,180630000.0,1.9099999999999997,-6.1679056923619804e-18,-0.12222222222222223,-0.05390600684718331,-0.06278511404561825,19331.5,20769.5,20626.3
2022-10-24,19571.2,19588.6,19177.2,19331.5,286940000.0,-1.22,-0.2210526315789474,-6.1679056923619804e-18,-0.05978835978835978,-0.05802320928371348,20082.7,20292.9,20496.299999999996
2022-10-25,19331.8,20406.9,19249.0,20082.7,371540000.0,3.89,0.01304347826086957,-0.2210526315789474,-0.11442495126705654,-0.07939807501948148,20769.5,20594.4,20483.5
2022-10-26,20086.8,20981.5,20062.9,20769.5,427990000.0,3.4199999999999995,-0.07142857142857142,0.01304347826086957,-0.06933638443935926,-0.07345308832915318,20292.9,20809.8,20154.4
2022-10-27,20769.5,20867.9,20231.6,20292.9,365490000.0,-2.29,-0.12727272727272726,-0.07142857142857142,-0.09314590824888307,-0.06302224932688559,20594.4,20626.3,20206.4
2022-10-28,20293.0,20744.0,20058.2,20594.4,318900000.0,1.49,-0.19375,-0.12727272727272726,-0.0618859401468097,-0.08372507591206511,20809.8,20496.299999999996,21145.9
2022-10-29,20594.2,21038.1,20561.9,20809.8,276540000.0,1.05,-0.09999999999999999,-0.19375,-0.13081709956709955,-0.10324038203451409,20626.3,20483.5,21301.6
2022-10-30,20809.4,20922.3,20522.5,20626.3,207630000.0,-0.88,-0.3,-0.09999999999999999,-0.1403409090909091,-0.10006577885991093,20496.299999999996,20154.4,20916.3
2022-10-31,20626.0,20822.4,20260.0,20496.299999999996,327470000.0,-0.63,-0.16153846153846152,-0.3,-0.19791666666666666,-0.14292292171705379,20483.5,20206.4,20589.0
2022-11-01,20496.1,20676.6,20348.1,20483.5,302720000.0,-0.06,-0.02142857142857143,-0.16153846153846152,-0.18717948717948718,-0.1344208974255558,20154.4,21145.9,18527.4
2022-11-02,20482.9,20778.3,20065.8,20154.4,420230000.0,-1.61,-0.11904761904761904,-0.02142857142857143,-0.16098901098901097,-0.13934547595261879,20206.4,21301.6,15886.9
